epoch;acc;loss;val_acc;val_loss
0;0.762481550269236;0.5026410751738083;0.5608908294134689;0.8679793676034034
1;0.805408487908069;0.43608624014887887;0.7608680974257397;0.5173137322222289
2;0.8338029868405538;0.3841442415763127;0.8474037132199793;0.35714876579129007
3;0.8798261632815422;0.2951379373856714;0.8870582955626652;0.2754242051849513
4;0.8983297413173771;0.25452235707548204;0.9027610556765885;0.2470603266640111
5;0.9070276160403932;0.23652140507295705;0.9135325582728252;0.22219638724534868
6;0.9125440343003858;0.22485676254015113;0.90278378036561;0.2412913468510925
7;0.9169696674873417;0.21637931596927973;0.9050789739567913;0.2484753809737226
8;0.9304226833881268;0.18494633844526734;0.9301670306366339;0.18026347868309592
9;0.9337461691575353;0.17796240344731634;0.9322577020266207;0.18136075110982228
10;0.934524489756525;0.1755323376839477;0.9390978334221213;0.16535083810899248
11;0.935905014614587;0.17312322603194716;0.9403249666292876;0.1607301390208469
