epoch;acc;loss;val_acc;val_loss
0;0.7928133290068438;0.4572777616264549;0.5613453229297739;1.061215417687967
1;0.8318657071014627;0.38562074158907467;0.8196795926136315;0.41750626334235447
2;0.8471366981239755;0.3564062480879411;0.8581297664381728;0.3296792649139858
3;0.8584251873954536;0.33584865098997974;0.8430632976168544;0.35298351384424215
4;0.8670719315681711;0.3200600785278939;0.8530167114083137;0.35950891647152217
5;0.8810078471106652;0.29145733520740774;0.8843540575690952;0.2852178551311683
6;0.8847971890050164;0.28404361973110825;0.8953755317445696;0.25613966217729506
7;0.8871207884574747;0.2796331221840318;0.8640609102728096;0.335963730379785
8;0.8880752253963817;0.2776208627814952;0.8918304802572006;0.26424096386048784
9;0.8928985406412155;0.2673574875176305;0.8955573292567424;0.2554833655255232
10;0.8928246854018954;0.26817559914462585;0.8858084376664774;0.2752766467994038
11;0.893489382555777;0.26593261769803533;0.8976252759577077;0.253806319115257
